ID,Event,Tactic,Technique
2018_T01_039,"11/03/2018 09:50:30 PM LogName=Security SourceName=Microsoft Windows security auditing. EventCode=4624 EventType=0 Type=Information ComputerName=employee-01.corp.wheelzapp.com TaskCategory=Logon OpCode=Info RecordNumber=223159 Keywords=Audit Success Message=An account was successfully logged on. Subject: Security ID: NT AUTHORITY\SYSTEM Account Name: EMPLOYEE-01$ Account Domain: CORP Logon ID: 0x3E7 Logon Information: Logon Type: 10 Restricted Admin Mode: No Virtual Account: No Elevated Token: Yes Impersonation Level: Impersonation New Logon: Security ID: CORP\bsakamoto Account Name: bsakamoto Account Domain: CORP Logon ID: 0xB87FF2 Linked Logon ID: 0x0 Network Account Name: - Network Account Domain: - Logon GUID: {B746583F-FC39-2F45-E60B-68B757288FD5} Process Information: Process ID: 0x470 Process Name: C:\Windows\System32\svchost.exe Network Information: Workstation Name: EMPLOYEE-01 Source Network Address: 10.0.254.106 Source Port: 0 Detailed Authentication Information: Logon Process: User32 Authentication Package: Negotiate Transited Services: - Package Name (NTLM only): - Key Length: 0 This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.",Lateral Movement,"Valid Accounts, Remote Desktop Protocol"
2018_T01_040,"{""endtime"":""2018-11-03T14:01:08.952127Z"",""timestamp"":""2018-11-03T14:01:08.952116Z"",""bytes"":112,""src_ip"":""10.0.254.205"",""src_mac"":""42:01:0A:00:01:01"",""src_port"":33427,""connection"":""10.0.1.40:443"",""client_rtt"":0,""client_rtt_packets"":1,""client_rtt_sum"":0,""ack_packets_in"":0,""bytes_in"":58,""data_packets_in"":0,""duplicate_packets_in"":0,""missing_packets_in"":0,""packets_in"":1,""app"":""unknown"",""server_rtt"":0,""server_rtt_packets"":0,""server_rtt_sum"":0,""refused"":1,""dest_ip"":""10.0.1.40"",""dest_mac"":""42:01:0A:00:01:28"",""dest_port"":443,""ack_packets_out"":1,""bytes_out"":54,""data_packets_out"":0,""duplicate_packets_out"":0,""missing_packets_out"":0,""packets_out"":1,""tcp_status"":1,""time_taken"":11,""flow_id"":""acbad912-dc21-4bae-8c72-a4e2a4e4a9d1"",""protocol_stack"":""""}",Discovery,Network Service Scanning
2018_T01_041,root 13433 0 14.5 00:00:00 0.8 64908 81868 pts/0 S 00:06 nmap -sV_-sC_-O_-v_-A_10.0.1.0/24_-T_5,Discovery,Network Service Scanning
2018_T02_001,root 9703 1 15.5 00:00:01 1.1 88168 199376 pts/2 S 00:12 nmap -sV_-sS_-sC_10.0.0.0/24_-p-,Discovery,Network Service Scanning
2018_T02_002,"{""endtime"":""2018-11-03T14:02:26.457479Z"",""timestamp"":""2018-11-03T14:02:26.439820Z"",""bytes"":129133,""src_mac"":""42:01:0A:00:FE:CA"",""src_port"":49504,""bytes_in"":667,""dest_ip"":""10.0.0.20"",""dest_mac"":""42:01:0A:00:FE:01"",""dest_port"":3000,""bytes_out"":128466,""time_taken"":17665,""transport"":""tcp"",""flow_id"":""6813a445-8edc-4e12-95b2-60748ffe4b1d"",""src_ip"":""10.0.254.202"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_type"":""text/html; charset=utf-8"",""site"":""nationals-t2-corp-talk-00.c.security-competitions.internal:3000"",""http_method"":""POST"",""status"":200,""uri_path"":""/sdk"",""http_user_agent"":""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"",""protocol_stack"":""ip:tcp:http:soap""}",Discovery,Network Service Scanning
2018_T02_003,"{""endtime"":""2018-11-03T15:03:52.178929Z"",""timestamp"":""2018-11-03T15:03:52.168025Z"",""bytes"":1117,""src_mac"":""42:01:0A:00:FE:C9"",""src_port"":55614,""bytes_in"":528,""dest_ip"":""10.0.0.20"",""dest_mac"":""42:01:0A:00:FE:01"",""dest_port"":3000,""bytes_out"":589,""time_taken"":10927,""transport"":""tcp"",""flow_id"":""6001c22e-e4ff-47f6-b378-4b31c617b195"",""src_ip"":""10.0.254.201"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_type"":""image/svg+xml"",""cookie"":""connect.sid=s%3AH6DZyY0kqT-cL6ez0A-IcikidYdGsehA.9Kgvyh9yL5uK9k9Hi2zv3ZaerYXAxw00GTMIYaERAdg; rc_uid=QeeznNxZSw3yqRXix; rc_token=I-HW37GSX7oiCND5Maiydn3prBOngdt9sYx21kaDptg"",""form_data"":""_dc=0"",""site"":""10.0.0.20:3000"",""http_method"":""GET"",""http_referrer"":""http://10.0.0.20:3000/channel/general"",""status"":200,""uri_query"":""_dc=0"",""uri_path"":""/avatar/arletha.riebel"",""http_user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.5.0"",""protocol_stack"":""ip:tcp:http""}","Credential Access, Lateral Movement, Lateral Movement","Remote Services, Valid Accounts"
2018_T02_004,"{""endtime"":""2018-11-03T15:06:09.615757Z"",""timestamp"":""2018-11-03T15:06:09.609346Z"",""bytes"":1109,""src_mac"":""42:01:0A:00:FE:C9"",""src_port"":55718,""bytes_in"":519,""dest_ip"":""10.0.0.20"",""dest_mac"":""42:01:0A:00:FE:01"",""dest_port"":3000,""bytes_out"":590,""time_taken"":6429,""transport"":""tcp"",""flow_id"":""0193f1f3-b0b8-4392-ad34-a8579def345b"",""src_ip"":""10.0.254.201"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_type"":""image/svg+xml"",""cookie"":""connect.sid=s%3AH6DZyY0kqT-cL6ez0A-IcikidYdGsehA.9Kgvyh9yL5uK9k9Hi2zv3ZaerYXAxw00GTMIYaERAdg; rc_uid=QeeznNxZSw3yqRXix; rc_token=I-HW37GSX7oiCND5Maiydn3prBOngdt9sYx21kaDptg"",""form_data"":""_dc=0"",""site"":""10.0.0.20:3000"",""http_method"":""GET"",""http_referrer"":""http://10.0.0.20:3000/channel/security"",""status"":200,""uri_query"":""_dc=0"",""uri_path"":""/avatar/test"",""http_user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.5.0"",""protocol_stack"":""ip:tcp:http""}",Lateral Movement,"Remote Services, Valid Accounts"
2018_T02_005,root 10882 1 10.3 00:00:00 0.5 43736 60552 pts/1 R 00:03 nmap -sS_-sV_10.0.1.0/24,Discovery,Network Service Scanning
2018_T02_006,"{""endtime"":""2018-11-03T14:16:45.755981Z"",""timestamp"":""2018-11-03T14:16:45.755965Z"",""bytes"":112,""src_ip"":""10.0.254.203"",""src_mac"":""42:01:0A:00:01:01"",""src_port"":38215,""connection"":""10.0.1.51:5432"",""client_rtt"":0,""client_rtt_packets"":1,""client_rtt_sum"":0,""ack_packets_in"":0,""bytes_in"":58,""data_packets_in"":0,""duplicate_packets_in"":0,""missing_packets_in"":0,""packets_in"":1,""app"":""unknown"",""server_rtt"":0,""server_rtt_packets"":0,""server_rtt_sum"":0,""refused"":1,""dest_ip"":""10.0.1.51"",""dest_mac"":""42:01:0A:00:01:33"",""dest_port"":5432,""ack_packets_out"":1,""bytes_out"":54,""data_packets_out"":0,""duplicate_packets_out"":0,""missing_packets_out"":0,""packets_out"":1,""tcp_status"":1,""time_taken"":16,""flow_id"":""56143b34-3504-4064-9d8f-4f90cf683af3"",""protocol_stack"":""""}",Discovery,Network Service Scanning
2018_T02_007,nmap -sS -sV 10.0.1.0/24,Discovery,Network Service Scanning
2018_T02_008,"Start-Date: 2018-11-03 21:47:53 Commandline: apt install pgcli Install: python3-terminaltables:amd64 (3.1.0-2, automatic), python3-setproctitle:amd64 (1.1.10-1+b2, automatic), python3-pgspecial:amd64 (1.9.0-1.1, automatic), python3-humanize:amd64 (0.5.1-2, automatic), python3-prompt-toolkit:amd64 (1.0.15-1, automatic), python3-tabulate:amd64 (0.8.2-1, automatic), python3-psycopg2:amd64 (2.7.5-2, automatic), python3-pygments:amd64 (2.2.0+dfsg-2, automatic), python3-wcwidth:amd64 (0.1.7+dfsg1-2, automatic), pgcli:amd64 (1.9.1-1), python3-sqlparse:amd64 (0.2.4-1, automatic)",Pre-Attack,Pre-Attack
2018_T02_009,root 6194 1 15.0 00:00:00 0.5 40248 166760 pts/7 S 00:03 python3 /usr/bin/pgcli_-h_10.0.1.51_-p_5432_-U_postgres,"Credential Access, Lateral Movement, Lateral Movement","Brute Force, Valid Accounts, Remote Services"
2018_T02_010,tcp 0 0 10.0.1.51:5432 10.0.254.201:50480 ESTAB,"Credential Access, Lateral Movement, Lateral Movement","Brute Force, Valid Accounts, Remote Services"
2018_T02_011,tcp 0 0 10.0.254.201:50482 10.0.1.51:5432 ESTAB,"Credential Access, Lateral Movement, Lateral Movement","Brute Force, Valid Accounts, Remote Services"
2018_T02_012,postgres 4439 1 0.1 00:00:00 0.1 18952 322472 ? S 00:17 postgres: 10/main:_postgres_postgres_10.0.254.201(50482)_idle,"Credential Access, Lateral Movement, Lateral Movement","Brute Force, Valid Accounts, Remote Services"
2018_T02_013,root 9703 1 15.5 00:00:01 1.1 88168 199376 pts/2 S 00:12 nmap -sV_-sS_-sC_10.0.0.0/24_-p-,Discovery,Network Service Scanning
2018_T02_014,"{""endtime"":""2018-11-03T14:18:48.571825Z"",""timestamp"":""2018-11-03T14:18:48.571818Z"",""bytes"":112,""src_ip"":""10.0.254.202"",""src_mac"":""42:01:0A:00:00:01"",""src_port"":41210,""connection"":""10.0.0.20:445"",""client_rtt"":0,""client_rtt_packets"":1,""client_rtt_sum"":0,""ack_packets_in"":0,""bytes_in"":58,""data_packets_in"":0,""duplicate_packets_in"":0,""missing_packets_in"":0,""packets_in"":1,""app"":""unknown"",""server_rtt"":0,""server_rtt_packets"":0,""server_rtt_sum"":0,""refused"":1,""dest_ip"":""10.0.0.20"",""dest_mac"":""42:01:0A:00:00:14"",""dest_port"":445,""ack_packets_out"":1,""bytes_out"":54,""data_packets_out"":0,""duplicate_packets_out"":0,""missing_packets_out"":0,""packets_out"":1,""tcp_status"":1,""time_taken"":7,""flow_id"":""08c1d299-23a7-4e14-aa41-105533766936"",""protocol_stack"":""""}",Discovery,Network Service Scanning
2018_T02_015,root 480 0 0.2 00:00:00 0.4 36296 764528 pts/1 S 00:30 mongo --host_10.0.0.20,"Credential Access, Lateral Movement","Brute Force, Remote Services"
2018_T02_016,tcp 0 0 10.0.0.20:27017 10.0.254.204:39458 ESTAB,"Credential Access, Lateral Movement","Brute Force, Remote Services"
2018_T02_017,tcp 0 0 10.0.0.20:27017 10.0.254.204:39458 ESTAB,"Credential Access, Lateral Movement","Brute Force, Remote Services"
2018_T02_018,root 8246 1 28.7 00:00:03 1.2 94068 189784 pts/0 R 00:12 nmap -sS_-sV_-T5_-p-_10.0.1.0/24,Discovery,Network Service Scanning
2018_T02_019,"{""endtime"":""2018-11-03T14:32:15.790534Z"",""timestamp"":""2018-11-03T14:32:15.790511Z"",""bytes"":112,""src_ip"":""10.0.254.205"",""src_mac"":""42:01:0A:00:01:01"",""src_port"":47105,""connection"":""10.0.1.46:42412"",""client_rtt"":0,""client_rtt_packets"":1,""client_rtt_sum"":0,""ack_packets_in"":0,""bytes_in"":58,""data_packets_in"":0,""duplicate_packets_in"":0,""missing_packets_in"":0,""packets_in"":1,""app"":""unknown"",""server_rtt"":0,""server_rtt_packets"":0,""server_rtt_sum"":0,""refused"":1,""dest_ip"":""10.0.1.46"",""dest_mac"":""42:01:0A:00:01:2E"",""dest_port"":42412,""ack_packets_out"":1,""bytes_out"":54,""data_packets_out"":0,""duplicate_packets_out"":0,""missing_packets_out"":0,""packets_out"":1,""tcp_status"":1,""time_taken"":23,""flow_id"":""35dfb509-d15e-4f8e-8082-fa453cfed566"",""protocol_stack"":""""}",Discovery,Network Service Scanning
2018_T02_020,"{""endtime"":""2018-11-03T14:52:54.962588Z"",""timestamp"":""2018-11-03T14:50:38.015567Z"",""bytes"":28763,""src_mac"":""42:01:0A:00:FE:CC"",""src_port"":34122,""bytes_in"":629,""dest_ip"":""154.0.166.162"",""dest_mac"":""42:01:0A:00:FE:01"",""dest_port"":80,""bytes_out"":28134,""time_taken"":136947045,""transport"":""tcp"",""flow_id"":""64cfa242-2d83-44a8-8498-d285e203acec"",""src_ip"":""10.0.254.204"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_length"":27563,""http_content_type"":""text/html; charset=\""UTF-8\"""",""site"":""haxf4rall.com"",""http_method"":""GET"",""http_referrer"":""https://r.search.yahoo.com/_ylt=AwrEeSq0td1bG0MAcocnnIlQ;_ylu=X3oDMTByOHZyb21tBGNvbG8DYmYxBHBvcwMxBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1541285428/RO=10/RU=http%3a%2f%2fhaxf4rall.com%2f2017%2f10%2f02%2ftraccar-open-source-gps-tracking-system%2f/RK=2/RS=.prKZK9yYi1JNtPujaGy7byHrKw-"",""server"":""Apache"",""status"":200,""uri_path"":""/2017/10/02/traccar-open-source-gps-tracking-system/"",""http_user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.5.0"",""protocol_stack"":""ip:tcp:http""}",Pre-Attack,Pre-Attack
2018_T02_021,"{""endtime"":""2018-11-03T14:53:17.297282Z"",""timestamp"":""2018-11-03T14:50:59.382205Z"",""bytes"":28740,""src_mac"":""42:01:0A:00:FE:CC"",""src_port"":34126,""bytes_in"":629,""dest_ip"":""154.0.166.162"",""dest_mac"":""42:01:0A:00:FE:01"",""dest_port"":80,""bytes_out"":28111,""time_taken"":137915108,""transport"":""tcp"",""flow_id"":""f469a5d5-d5cc-4ae1-a003-56560f6d9ddd"",""src_ip"":""10.0.254.204"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_length"":27540,""http_content_type"":""text/html; charset=\""UTF-8\"""",""site"":""haxf4rall.com"",""http_method"":""GET"",""http_referrer"":""https://r.search.yahoo.com/_ylt=AwrEeSq0td1bG0MAcocnnIlQ;_ylu=X3oDMTByOHZyb21tBGNvbG8DYmYxBHBvcwMxBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1541285428/RO=10/RU=http%3a%2f%2fhaxf4rall.com%2f2017%2f10%2f02%2ftraccar-open-source-gps-tracking-system%2f/RK=2/RS=.prKZK9yYi1JNtPujaGy7byHrKw-"",""server"":""Apache"",""status"":200,""uri_path"":""/2017/10/02/traccar-open-source-gps-tracking-system/"",""http_user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.5.0"",""protocol_stack"":""ip:tcp:http""}",Pre-Attack,Pre-Attack
2018_T02_022,"{""endtime"":""2018-11-03T14:54:05.368613Z"",""timestamp"":""2018-11-03T14:54:04.691895Z"",""bytes"":28474,""src_mac"":""42:01:0A:00:FE:CC"",""src_port"":34230,""bytes_in"":672,""dest_ip"":""154.0.166.162"",""dest_mac"":""42:01:0A:00:FE:01"",""dest_port"":80,""bytes_out"":27802,""time_taken"":676759,""transport"":""tcp"",""flow_id"":""b390e1b6-d7bb-4044-baae-fb2d5949d8d4"",""src_ip"":""10.0.254.204"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_length"":27540,""http_content_type"":""text/html; charset=UTF-8"",""site"":""haxf4rall.com"",""http_method"":""GET"",""http_referrer"":""https://r.search.yahoo.com/_ylt=AwrEeSq0td1bG0MAcocnnIlQ;_ylu=X3oDMTByOHZyb21tBGNvbG8DYmYxBHBvcwMxBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1541285428/RO=10/RU=http%3a%2f%2fhaxf4rall.com%2f2017%2f10%2f02%2ftraccar-open-source-gps-tracking-system%2f/RK=2/RS=.prKZK9yYi1JNtPujaGy7byHrKw-"",""server"":""Apache"",""status"":200,""uri_path"":""/2017/10/02/traccar-open-source-gps-tracking-system/"",""http_user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.5.0"",""protocol_stack"":""ip:tcp:http""}",Pre-Attack,Pre-Attack
2018_T02_023,"{""endtime"":""2018-11-03T14:54:39.041852Z"",""timestamp"":""2018-11-03T14:54:39.041852Z"",""count"":3,""dest_ip"":""154.0.166.162"",""site"":""haxf4rall.com"",""status"":200,""uri_path"":""/2017/10/02/traccar-open-source-gps-tracking-system/"",""sum(bytes_in)"":1930,""sum(bytes_out)"":84047,""sum(time_taken)"":275538912}",Pre-Attack,Pre-Attack
2018_T02_024,"{""endtime"":""2018-11-03T17:53:23.849140Z"",""timestamp"":""2018-11-03T17:51:04.928205Z"",""bytes"":28847,""src_mac"":""42:01:0A:00:FE:CD"",""src_port"":35168,""bytes_in"":595,""dest_ip"":""154.0.166.162"",""dest_mac"":""42:01:0A:00:FE:01"",""dest_port"":80,""bytes_out"":28252,""time_taken"":138920965,""transport"":""tcp"",""flow_id"":""225419b2-365d-4221-a7ed-458bd2d0ef23"",""src_ip"":""10.0.254.205"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_length"":27681,""http_content_type"":""text/html; charset=\""UTF-8\"""",""site"":""haxf4rall.com"",""http_method"":""GET"",""http_referrer"":""http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&ved=2ahUKEwielZjS5LjeAhWRzlMKHU49BHgQFjADegQICRAB&url=http%3A%2F%2Fhaxf4rall.com%2F2017%2F10%2F02%2Ftraccar-open-source-gps-tracking-system%2F&usg=AOvVaw0bfgDBAOu1xtjgzBAcnjp4"",""server"":""Apache"",""status"":200,""uri_path"":""/2017/10/02/traccar-open-source-gps-tracking-system/"",""http_user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.5.0"",""protocol_stack"":""ip:tcp:http""}",Pre-Attack,Pre-Attack
2018_T02_025,"{""endtime"":""2018-11-03T17:54:07.201229Z"",""timestamp"":""2018-11-03T17:54:07.201229Z"",""count"":1,""dest_ip"":""154.0.166.162"",""site"":""haxf4rall.com"",""status"":200,""uri_path"":""/2017/10/02/traccar-open-source-gps-tracking-system/"",""sum(bytes_in)"":595,""sum(bytes_out)"":28252,""sum(time_taken)"":138920965}",Pre-Attack,Pre-Attack
2018_T02_026,"{""endtime"":""2018-11-03T18:00:39.658877Z"",""timestamp"":""2018-11-03T18:00:38.984344Z"",""bytes"":28581,""src_mac"":""42:01:0A:00:FE:CD"",""src_port"":35340,""bytes_in"":638,""dest_ip"":""154.0.166.162"",""dest_mac"":""42:01:0A:00:FE:01"",""dest_port"":80,""bytes_out"":27943,""time_taken"":674559,""transport"":""tcp"",""flow_id"":""f2bcf02d-48aa-44a4-8964-53f685639e7e"",""src_ip"":""10.0.254.205"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_length"":27681,""http_content_type"":""text/html; charset=UTF-8"",""site"":""haxf4rall.com"",""http_method"":""GET"",""http_referrer"":""http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&ved=2ahUKEwielZjS5LjeAhWRzlMKHU49BHgQFjADegQICRAB&url=http%3A%2F%2Fhaxf4rall.com%2F2017%2F10%2F02%2Ftraccar-open-source-gps-tracking-system%2F&usg=AOvVaw0bfgDBAOu1xtjgzBAcnjp4"",""server"":""Apache"",""status"":200,""uri_path"":""/2017/10/02/traccar-open-source-gps-tracking-system/"",""http_user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.5.0"",""protocol_stack"":""ip:tcp:http""}",Pre-Attack,Pre-Attack
2018_T02_027,"{""endtime"":""2018-11-03T18:01:09.044461Z"",""timestamp"":""2018-11-03T18:01:09.044461Z"",""count"":1,""dest_ip"":""154.0.166.162"",""site"":""haxf4rall.com"",""status"":200,""uri_path"":""/2017/10/02/traccar-open-source-gps-tracking-system/"",""sum(bytes_in)"":638,""sum(bytes_out)"":27943,""sum(time_taken)"":674559}",Pre-Attack,Pre-Attack
2018_T02_028,root 10316 1 2.2 00:00:00 0.6 49612 65940 pts/2 S 00:25 nmap -sV_-sC_-p_5000-5150_10.0.1.46,Discovery,Network Service Scanning
2018_T02_029,"{""endtime"":""2018-11-03T21:15:26.819740Z"",""timestamp"":""2018-11-03T21:15:26.819733Z"",""bytes"":112,""src_ip"":""10.0.254.206"",""src_mac"":""42:01:0A:00:01:01"",""src_port"":57721,""connection"":""10.0.1.46:5000"",""client_rtt"":0,""client_rtt_packets"":1,""client_rtt_sum"":0,""ack_packets_in"":0,""bytes_in"":58,""data_packets_in"":0,""duplicate_packets_in"":0,""missing_packets_in"":0,""packets_in"":1,""app"":""unknown"",""server_rtt"":0,""server_rtt_packets"":0,""server_rtt_sum"":0,""refused"":1,""dest_ip"":""10.0.1.46"",""dest_mac"":""42:01:0A:00:01:2E"",""dest_port"":5000,""ack_packets_out"":1,""bytes_out"":54,""data_packets_out"":0,""duplicate_packets_out"":0,""missing_packets_out"":0,""packets_out"":1,""tcp_status"":1,""time_taken"":7,""flow_id"":""a1390ec7-d298-4d91-bea2-1b44fa076ea9"",""protocol_stack"":""""}",Discovery,Network Service Scanning
2018_T02_030,root 18822 1 9.3 00:00:00 0.6 49756 65928 pts/2 S 00:06 nmap -sV_-sC_-p_8082_10.0.1.46,Discovery,Network Service Scanning
2018_T02_031,/usr/bin/wfuzz_-w_wfuzz/wordlist/general/common.txt_--hc=404_http://10.0.1.46:8082/FUZZ,Discovery,Network Service Scanning
2018_T02_032,/usr/bin/wfuzz_-w_wordlist/general/common.txt_--hc=404_http://10.0.1.46:8082/FUZZ,Discovery,Network Service Scanning
2018_T02_033,"{""endtime"":""2018-11-03T17:47:32.755583Z"",""timestamp"":""2018-11-03T17:47:32.745537Z"",""bytes"":2275,""src_mac"":""42:01:0A:00:FE:CC"",""src_port"":60846,""bytes_in"":1525,""dest_ip"":""10.0.1.46"",""dest_mac"":""42:01:0A:00:FE:01"",""dest_port"":8082,""bytes_out"":750,""time_taken"":10097,""transport"":""tcp"",""flow_id"":""bfcdf15f-2b05-495a-93bc-4cb389ba46b8"",""src_ip"":""10.0.254.204"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_length"":379,""http_content_type"":""application/json"",""cookie"":""JSESSIONID=node072egvjeirjns12acecoy00y0m0.node0; ext-devices-grid=o%3Acolumns%3Da%253Ao%25253Aid%25253Ds%2525253Ah1%255Eo%25253Aid%25253Ds%2525253Ah2%255Eo%25253Aid%25253Ds%2525253Ah3%255Eo%25253Aid%25253Ds%2525253Ah4%255Eo%25253Aid%25253Ds%2525253Ah5%255Eo%25253Aid%25253Ds%2525253Ah6%255Eo%25253Aid%25253Ds%2525253Ah7%255Eo%25253Aid%25253Ds%2525253Ah8%255Eo%25253Aid%25253Ds%2525253Ah9%255Eo%25253Aid%25253Ds%2525253Ah10%5Eweight%3Dn%253A0; ext-state-grid=o%3Acolumns%3Da%253Ao%25253Aid%25253Ds%2525253Ah1%255Eo%25253Aid%25253Ds%2525253Ah2%5EstoreState%3Do%253Asorters%253Da%25253Ao%2525253Aroot%2525253Ds%252525253Adata%2525255Eproperty%2525253Ds%252525253Apriority%2525255Edirection%2525253Ds%252525253AASC%2525255Eid%2525253Ds%252525253Apriority%5Eweight%3Dn%253A10; ext-devices-and-state-panel=o%3Aweight%3Dn%253A-10; ext-show-geofences-button=o%3Apressed%3Db%253A0; ext-show-live-routes-button=o%3Apressed%3Db%253A0; ext-device-follow-button=o%3Apressed%3Db%253A1"",""form_data"":""email=admin&password=admin&undefined=false"",""site"":""10.0.1.46:8082"",""http_method"":""POST"",""http_referrer"":""http://10.0.1.46:8082/"",""server"":""Jetty(9.4.12.v20180830)"",""status"":200,""uri_path"":""/api/session"",""http_user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.5.0"",""protocol_stack"":""ip:tcp:http""}","Credential Access, Lateral Movement, Lateral Movement","Brute Force, Valid Accounts, Remote Services"
2018_T02_034,"{""endtime"":""2018-11-03T17:48:51.945270Z"",""timestamp"":""2018-11-03T17:48:51.935433Z"",""bytes"":2549,""src_mac"":""42:01:0A:00:FE:CD"",""src_port"":33748,""bytes_in"":1799,""dest_ip"":""10.0.1.46"",""dest_mac"":""42:01:0A:00:FE:01"",""dest_port"":8082,""bytes_out"":750,""time_taken"":9863,""transport"":""tcp"",""flow_id"":""261df552-3846-4590-bb02-37ce9526426f"",""src_ip"":""10.0.254.205"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_length"":379,""http_content_type"":""application/json"",""cookie"":""JSESSIONID=node01d3nd1z4ryboy1528m0nk8xrf61.node0; ext-devices-grid=o%3Acolumns%3Da%253Ao%25253Aid%25253Ds%2525253Ah1%255Eo%25253Aid%25253Ds%2525253Ah2%255Eo%25253Aid%25253Ds%2525253Ah3%255Eo%25253Aid%25253Ds%2525253Ah4%255Eo%25253Aid%25253Ds%2525253Ah5%255Eo%25253Aid%25253Ds%2525253Ah6%255Eo%25253Aid%25253Ds%2525253Ah7%255Eo%25253Aid%25253Ds%2525253Ah8%255Eo%25253Aid%25253Ds%2525253Ah9%255Eo%25253Aid%25253Ds%2525253Ah10%5Eweight%3Dn%253A0; ext-state-grid=o%3Acolumns%3Da%253Ao%25253Aid%25253Ds%2525253Ah1%255Eo%25253Aid%25253Ds%2525253Ah2%5EstoreState%3Do%253Asorters%253Da%25253Ao%2525253Aroot%2525253Ds%252525253Adata%2525255Eproperty%2525253Ds%252525253Apriority%2525255Edirection%2525253Ds%252525253AASC%2525255Eid%2525253Ds%252525253Apriority%5Eweight%3Dn%253A10; ext-devices-and-state-panel=o%3Aweight%3Dn%253A-10; ext-show-geofences-button=o%3Apressed%3Db%253A0; ext-show-live-routes-button=o%3Apressed%3Db%253A1; ext-device-follow-button=o%3Apressed%3Db%253A0; ext-events-scroll-to-last-button=o%3Apressed%3Db%253A1; ext-sound-button=o%3Apressed%3Db%253A0; ext-events-grid=o%3Acollapsed%3Do%253A%5Ecolumns%3Da%253Ao%25253Aid%25253Ds%2525253Ah1%255Eo%25253Aid%25253Ds%2525253Ah2%255Eo%25253Aid%25253Ds%2525253Ah3%5Eweight%3Dn%253A-20"",""form_data"":""email=admin&password=admin&undefined=false"",""site"":""10.0.1.46:8082"",""http_method"":""POST"",""http_referrer"":""http://10.0.1.46:8082/"",""server"":""Jetty(9.4.12.v20180830)"",""status"":200,""uri_path"":""/api/session"",""http_user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.5.0"",""protocol_stack"":""ip:tcp:http""}","Credential Access, Lateral Movement, Lateral Movement","Brute Force, Valid Accounts, Remote Services"
